BHID,DEPTH,X,Y,Z,OREZONE,LITHO
BH01,0,352724,2247608,217.13,0,WOX
BH01,0.1,352724.0712,2247607.99,217.0605342,0,WOX
BH01,0.2,352724.1425,2247607.98,216.9910683,0,WOX
BH01,0.3,352724.2137,2247607.97,216.9216025,0,WOX
BH01,0.4,352724.2849,2247607.96,216.8521367,0,WOX
BH01,0.5,352724.3562,2247607.95,216.7826708,0,WOX
BH01,0.6,352724.4274,2247607.94,216.713205,0,WOX
BH01,0.7,352724.4986,2247607.93,216.6437391,0,WOX
BH01,0.8,352724.5699,2247607.92,216.5742733,0,WOX
BH01,0.9,352724.6411,2247607.91,216.5048075,0,WOX
BH01,1,352724.7123,2247607.9,216.4353416,0,WOX
BH01,1.1,352724.7836,2247607.89,216.3658758,0,WOX
BH01,1.2,352724.8548,2247607.88,216.29641,0,WOX
BH01,1.3,352724.926,2247607.87,216.2269441,0,WOX
BH01,1.4,352724.9973,2247607.86,216.1574783,0,WOX
BH01,1.5,352725.0685,2247607.85,216.0880124,0,WOX
BH01,1.6,352725.1397,2247607.84,216.0185466,0,WOX
BH01,1.7,352725.211,2247607.83,215.9490808,0,WOX
BH01,1.8,352725.2822,2247607.82,215.8796149,0,WOX
BH01,1.9,352725.3534,2247607.81,215.8101491,0,WOX
BH01,2,352725.4247,2247607.8,215.7406833,0,WOX
BH01,2.1,352725.4959,2247607.79,215.6712174,0,WOX
BH01,2.2,352725.5671,2247607.78,215.6017516,0,WOX
BH01,2.3,352725.6384,2247607.77,215.5322857,0,WOX
BH01,2.4,352725.7096,2247607.76,215.4628199,0,WOX
BH01,2.5,352725.7808,2247607.75,215.3933541,0,WOX
BH01,2.6,352725.8521,2247607.74,215.3238882,0,WOX
BH01,2.7,352725.9233,2247607.73,215.2544224,0,WOX
BH01,2.8,352725.9945,2247607.72,215.1849566,0,WOX
BH01,2.9,352726.0658,2247607.71,215.1154907,0,WOX
BH01,3,352726.137,2247607.7,215.0460249,0,WOX
BH01,3.1,352726.2083,2247607.69,214.9765591,0,WOX
BH01,3.2,352726.2795,2247607.68,214.9070932,0,WOX
BH01,3.3,352726.3507,2247607.67,214.8376274,0,WOX
BH01,3.4,352726.422,2247607.66,214.7681615,0,WOX
BH01,3.5,352726.4932,2247607.65,214.6986957,0,WOX
BH01,3.6,352726.5644,2247607.64,214.6292299,0,WOX
BH01,3.7,352726.6357,2247607.63,214.559764,0,WOX
BH01,3.8,352726.7069,2247607.62,214.4902982,0,WOX
BH01,3.9,352726.7781,2247607.61,214.4208324,0,WOX
BH01,4,352726.8494,2247607.6,214.3513665,0,WOX
BH01,4.1,352726.9206,2247607.59,214.2819007,0,WOX
BH01,4.2,352726.9918,2247607.58,214.2124348,0,WOX
BH01,4.3,352727.0631,2247607.57,214.142969,0,WOX
BH01,4.4,352727.1343,2247607.56,214.0735032,0,WOX
BH01,4.5,352727.2055,2247607.549,214.0040373,0,WOX
BH01,4.6,352727.2768,2247607.539,213.9345715,0,WOX
BH01,4.7,352727.348,2247607.529,213.8651057,0,WOX
BH01,4.8,352727.4192,2247607.519,213.7956398,0,WOX
BH01,4.9,352727.4905,2247607.509,213.726174,0,WOX
