i,j,k
1372,1421,1371
1421,1372,1422
1667,1618,1668
1618,1667,1617
1570,1621,1620
1621,1570,1571
715,765,714
765,764,714
872,823,873
823,872,822
874,823,824
823,874,873
1174,1223,1173
1223,1174,1224
1051,1100,1050
1100,1051,1101
663,613,664
664,613,614
613,662,612
662,613,663
713,662,663
662,713,712
713,663,664
713,664,714
764,713,714
763,713,764
400,451,450
451,400,401
2301,2350,2300
2350,2301,2351
1256,1205,1206
1205,1256,1255
1313,1364,1363
1364,1313,1314
1315,1364,1314
1364,1315,1365
2364,2413,2363
2413,2364,2414
2495,2446,2496
2446,2495,2445
426,477,476
477,426,427
477,428,478
428,477,427
1598,1648,1647
1598,1647,1597
1848,1799,1849
1799,1848,1798
1999,1948,1949
1948,1999,1998
1947,1946,1897
1946,1896,1897
1837,1886,1836
1886,1837,1887
2371,2320,2321
2320,2371,2370
2137,2138,2188
2187,2137,2188
1016,1067,1066
1067,1016,1017
1067,1116,1066
1116,1067,1117
1116,1165,1115
1165,1116,1166
966,967,1017
1016,966,1017
966,917,967
917,966,916
868,917,867
917,868,918
915,864,865
864,915,914
917,866,867
866,917,916
866,915,865
915,866,916
1322,1373,1372
1373,1322,1323
1913,1964,1963
1964,1913,1914
2112,2161,2111
2161,2112,2162
1764,1713,1714
1713,1764,1763
1713,1712,1662
1663,1713,1662
1712,1713,1762
1762,1713,1763
1466,1517,1516
1517,1466,1467
1420,1471,1470
1471,1420,1421
1673,1622,1623
1622,1673,1672
1622,1621,1571
1572,1622,1571
1519,1569,1518
1518,1569,1568
1569,1519,1520
1570,1569,1520
817,868,867
868,817,818
866,817,867
817,866,816
817,768,818
768,817,767
766,817,816
817,766,767
866,815,816
815,866,865
815,864,814
864,815,865
815,766,816
766,815,765
765,815,764
764,815,814
1021,1070,1020
1070,1021,1071
968,917,918
917,968,967
627,677,626
677,676,626
827,778,828
778,827,777
827,776,777
776,827,826
825,776,826
775,776,825
772,823,822
823,772,773
771,772,821
821,772,822
1273,1322,1272
1322,1273,1323
1120,1119,1069
1070,1120,1069
1222,1273,1272
1273,1222,1223
1053,1002,1003
1002,1053,1052
810,761,811
761,810,760
559,508,509
508,559,558
508,459,509
459,508,458
560,609,559
609,560,610
700,751,750
751,700,701
702,751,701
751,702,752
351,400,350
400,351,401
1,50,0
50,1,51
